0
mineral	number	area	cycle	age

Quartz	0	0.018725	1.000000	0.000000
Quartz	1	0.016428	1.000000	0.000000
Quartz	2	0.011598	1.000000	0.000000
Quartz	3	0.030179	1.000000	0.000000
Quartz	4	0.008547	1.000000	0.000000
Quartz	5	0.010896	1.000000	0.000000
Quartz	6	0.012389	1.000000	0.000000
Quartz	7	0.061265	1.000000	0.000000
Quartz	8	0.018726	1.000000	0.000000
Quartz	9	0.018009	1.000000	0.000000
Quartz	10	0.011763	1.000000	0.000000
Quartz	11	0.017083	1.000000	0.000000
Quartz	12	0.054102	1.000000	0.000000
Quartz	13	0.026098	1.000000	0.000000
Quartz	14	0.012681	1.000000	0.000000
Quartz	15	0.012253	1.000000	0.000000
Quartz	16	0.015603	1.000000	0.000000
Quartz	18	0.029303	1.000000	0.000000
Quartz	22	0.011621	1.000000	0.000000
Quartz	27	0.022795	1.000000	0.000000
Quartz	36	0.000237	1.000000	0.000000
Quartz	37	0.045316	1.000000	0.000000
Quartz	40	0.028552	1.000000	0.000000
Quartz	50	0.010716	1.000000	0.000000
Quartz	53	0.041769	1.000000	0.000000
Fsp	25	0.000602	1.000000	0.000000
	grain number	area
	0	0.018725
	1	0.016428
	2	0.011598
	3	0.030179
	4	0.008547
	5	0.010896
	6	0.012389
	7	0.061265
	8	0.018726
	9	0.018009
	10	0.011763
	11	0.017083
	12	0.054102
	13	0.026098
	14	0.012681
	15	0.012253
	16	0.015603
	17	0.030721
	18	0.029303
	19	0.049365
	20	0.025393
	21	0.001483
	22	0.011621
	23	0.030595
	24	0.008086
	25	0.000602
	26	0.015296
	27	0.022795
	28	0.017289
	30	0.005968
	31	0.014333
	33	0.001597
	34	0.040285
	35	0.000396
	36	0.000237
	37	0.045316
	38	0.001144
	39	0.004814
	40	0.028552
	42	0.009828
	43	0.057066
	44	0.001228
	45	0.036135
	47	0.005919
	48	0.039507
	50	0.010716
	51	0.004685
	52	0.051609
	53	0.041769
total grain number	26
average grain size	0.038462
second moment grain size	0.760010
min_max orientation statistics 
<=5	2.573460
5-10	0.000000
10-20	0.000000
20-40	0.186689
40-60	0.947400
<90	2.293827
<=180	6.218350
max orientation statistics 
<=5	2.573460
<=10	2.573460
<=20	2.573460
<=40	2.760149
<=60	3.707549
<=90	6.001376
<=180	12.219727
total_b_length	12.325700
ratio	1.139464
maxAng	78.000000
minAng	178.000000
accuracy	10.000000

